term,translation_zh_CN,comment_zh_CN,pos
> Info:,> 须知：,,Noun
> note:,> 注意：,,Noun
> tip:,> 小技巧：,,Noun
Action,动作,,Noun
Active Record,"活动记录,简称 AR",其实可以不翻译,Noun
Composer,Composer,,Noun
Gii,Gii,自动代码生成器,Noun
MVC,MVC,,Noun
Model,Model（模型）,,Noun
PHP,PHP,,Noun
Response,响应,,Noun
Vendor,依赖库,,Noun
alias,路径别名,,Noun
application,应用主体,"此应用非手机应用，指的是我们开发的项目的应用程序主体。",Noun
attribute,数据属性,"【待定】Yii1时代叫特性，$model->attributes 模型类(对象)的属性",Noun
bundle,包,,Noun
class ,类,,Noun
column,字段,,Noun
component ,组件,Yii 1的翻译,Noun
configuration,配置,,Noun
database ,数据库,,Noun
design pattern,设计模式,,Noun
eager loading,贪婪加载,,Noun
extension,扩展,,Noun
Fixtures,定制器,"【待定】非常难翻译的概念",Noun
framework,框架,,Noun
fullstack,全栈,"所有的层次，前端到后端，从表现到数据",Noun
generator,生成器,,Noun
helper,Helper（助手）,,Noun
implement,实现,或具体实现,Verb
installation,安装,,Noun
key-value pair,键值对,,Noun
lazy loading,惰性加载,,Noun
massive assignment,块赋值,,Noun
module,模块,或子模块,Noun
overview,概览,,Noun
package,包,,Noun
perform,运作,,Verb
property,属性,,Noun
request,请求,,Noun
route,路由,,Noun
session,session（会话）,,Noun
trait,trait（特质）,,Noun
validation,验证，数据有效性验证,数据有效性验证,Noun
widget,小部件,从其在Yii里的作用来看，叫“小部件”比Yii 1时代翻译的“挂件”更合适。,Noun
workflow,工作流程,,Noun
